"name","path","priority","exists","probe_status","top_level_dirs","top_level_files","restore_mode"
"Google Drive accepted backup","G:\ملفاتي\UAOS_FULL_BACKUP_GOOGLE_20260708\keyboard-manager-clean","1","True","FOUND","112","72","DRYRUN_ONLY_NO_OVERWRITE"
"D drive clean project backup","D:\UAOS_CLEAN_PROJECT_BACKUP_20260707_223042","2","True","FOUND","111","72","DRYRUN_ONLY_NO_OVERWRITE"
"E full backup accepted long path","E:\UAOS_FULL_BACKUP_NEW_20260626_215910\keyboard-manager-clean_FULL","3","True","FOUND","108","85","DRYRUN_ONLY_NO_OVERWRITE"
"OneDrive backups folder","C:\Users\ssare\OneDrive\UAOS_BACKUPS","4","False","NOT_FOUND","0","0","DRYRUN_ONLY_NO_OVERWRITE"
